2021-08-08 01:26:03 INFO  DriverFactory:71 - The driver executable does not exist: /Users/guptaabi/ProjectDir/xendit/src/main/java/com/test/xendit/driver\Mac\chromedriver
2021-08-09 01:33:49 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:33:56 INFO  Homepage:48 - Fetch Calculator size details
2021-08-09 01:33:56 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (247b41aa22baaba83d9d26da439506c6)] -> id: fullframe]for time : 10
2021-08-09 01:33:56 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:34:11 INFO  TestBase:53 - snapshot taken at /Users/guptaabi/ProjectDir/xendit/src/main/resources/Screenshots/Result_09_08_2021_01_34_10.png
2021-08-09 01:35:23 INFO  TestBase:29 - Initialize Web driver: 1123236701
2021-08-09 01:35:23 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:35:23 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:36:32 INFO  TestBase:29 - Initialize Web driver: 1123236701
2021-08-09 01:36:32 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:36:32 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:36:39 INFO  Homepage:48 - Fetch Calculator size details
2021-08-09 01:36:39 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (e561b908dc9cebd7379de8ab067e68ac)] -> id: fullframe]for time : 10
2021-08-09 01:36:39 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:36:48 INFO  TestBase:53 - snapshot taken at /Users/guptaabi/ProjectDir/xendit/src/main/resources/Screenshots/Result_09_08_2021_01_36_47.png
2021-08-09 01:37:50 INFO  TestBase:29 - Initialize Web driver: 94919826
2021-08-09 01:37:50 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:37:50 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:37:56 INFO  Homepage:48 - Fetch Calculator size details
2021-08-09 01:37:56 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (53edc24cbdc27e31cbbbc79190bfb85f)] -> id: fullframe]for time : 10
2021-08-09 01:37:56 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:38:06 INFO  TestBase:53 - snapshot taken at /Users/guptaabi/ProjectDir/xendit/src/main/resources/Screenshots/Result_09_08_2021_01_38_05.png
2021-08-09 01:42:27 INFO  TestBase:29 - Initialize Web driver: 847320212
2021-08-09 01:42:27 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:42:27 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:46:26 INFO  TestBase:29 - Initialize Web driver: 1201004240
2021-08-09 01:46:26 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:46:26 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:46:32 INFO  Homepage:48 - Fetch Calculator size details
2021-08-09 01:46:32 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (a9c83ca84e6ac2473eff91734aceff80)] -> id: fullframe]for time : 10
2021-08-09 01:46:32 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:46:41 INFO  TestBase:53 - snapshot taken at /Users/guptaabi/ProjectDir/xendit/src/main/resources/Screenshots/Result_09_08_2021_01_46_41.png
2021-08-09 02:02:08 INFO  TestBase:29 - Initialize Web driver: 852026681
2021-08-09 02:02:08 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 02:02:08 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 02:02:15 INFO  Homepage:48 - Fetch Calculator size details
